"","bestCostByT","temperatures"
"488",1459620444,9532906,39976303
"489",1459620444,9437577,3357654
"490",1459620444,9343201,56240775
"491",1459620444,9249769,54678367
"492",1459620444,9157271,85131583
"493",1459620444,9065699,13280267
"494",1459620444,8975042,14147464
"495",1459620444,8885291,7200599
"496",1459620444,8796438,8028593
"497",1459620444,8708474,41483071
"498",1459620444,8621389,6706824
"499",1459620444,8535175,77397558
"500",1459620444,8449824,01623582
"501",1459620444,8365325,77607346
"502",1459620444,8281672,51831273
"503",1459620444,8198855,7931296
"504",1459620444,8116867,2351983
"505",1459620444,8035698,56284632
"506",1459620444,7955341,57721786
"507",1459620444,7875788,16144568
"508",1459620444,7797030,27983122
"509",1459620444,7719059,97703291
"510",1459620444,7641869,37726258
"511",1459620444,7565450,68348995
"512",1459620444,7489796,17665505
"513",1459620444,7414898,2148885
"514",1459620444,7340749,23273962
"515",1459620444,7267341,74041222
"516",1459620444,7194668,3230081
"517",1459620444,7122721,63977802
"518",1459620444,7051494,42338024
"519",1459620444,6980979,47914644
"520",1459620444,6911169,68435497
"521",1459620444,6842057,98751142
"522",1459620444,6773637,40763631
"523",1459620444,6705901,03355995
"524",1459620444,6638842,02322435
"525",1459620444,6572453,6029921
"526",1459620444,6506729,06696218
"527",1459620444,6441661,77629256
"528",1459620444,6377245,15852963
"529",1459620444,6313472,70694434
"530",1459620444,6250337,97987489
"531",1459620444,6187834,60007615
"532",1459620444,6125956,25407538
"533",1459620444,6064696,69153463
"534",1459620444,6004049,72461928
"535",1459620444,5944009,22737309
"536",1459620444,5884569,13509936
"537",1459620444,5825723,44374837
"538",1459620444,5767466,20931088
"539",1459620444,5709791,54721777
"540",1459620444,5652693,6317456
"541",1459620444,5596166,69542814
"542",1459620444,5540205,02847386
"543",1459620444,5484802,97818912
"544",1459620444,5429954,94840723
"545",1459620444,5375655,39892316
"546",1459620444,5321898,84493393
"547",1459620444,5268679,85648459
"548",1459620444,5215993,05791974
"549",1459620444,5163833,12734054
"550",1459620444,5112194,79606714
"551",1459620444,5061072,84810647
"552",1459620444,5010462,1196254
"553",1459620444,4960357,49842915
"554",1459620444,4910753,92344486
"555",1459620444,4861646,38421041
"556",1459620444,4813029,9203683
"557",1459620444,4764899,62116462
"558",1459620444,4717250,62495297
"559",1459620444,4670078,11870344
"560",1459620444,4623377,33751641
"561",1459620444,4577143,56414125
"562",1459620444,4531372,12849983
"563",1459620444,4486058,40721483
"564",1459620444,4441197,82314269
"565",1459620444,4396785,84491126
"566",1459620444,4352817,98646215
"567",1459620444,4309289,80659752
"568",1459620444,4266196,90853155
"569",1459620444,4223534,93944623
"570",1459620444,4181299,59005177
"571",1459620444,4139486,59415125
"572",1459620444,4098091,72820974
"573",1459620444,4057110,81092764
"574",1459620444,4016539,70281837
"575",1459620444,3976374,30579018
"576",1459620444,3936610,56273228
"577",1459620444,3897244,45710496
"578",1459620444,3858272,01253391
"579",1459620444,3819689,29240857
"580",1459620444,3781492,39948448
"581",1459620444,3743677,47548964
"582",1459620444,3706240,70073474
"583",1459620444,3669178,2937274
"584",1459620444,3632486,51079012
"585",1459620444,3596161,64568222
"586",1459620444,3560200,0292254
"587",1459620444,3524598,02893315
"588",1459620444,3489352,04864381
"589",1459620444,3454458,52815738
"590",1459620444,3419913,9428758
"591",1459620444,3385714,80344704
"592",1459620444,3351857,65541257
"593",1459620444,3318339,07885845
"594",1459620444,3285155,68806986
"595",1459620444,3252304,13118916
"596",1459620444,3219781,08987727
"597",1459620444,3187583,2789785
"598",1459620444,3155707,44618871
"599",1459620444,3124150,37172683
"600",1459620444,3092908,86800956
"601",1459620444,3061979,77932946
"602",1459620444,3031359,98153617
"603",1459620444,3001046,38172081
"604",1459620444,2971035,9179036
"605",1459620444,2941325,55872456
"606",1459620444,2911912,30313732
"607",1459620444,2882793,18010594
"608",1459620444,2853965,24830488
"609",1459620444,2825425,59582184
"610",1459620444,2797171,33986362
"611",1459620444,2769199,62646498
"612",1459620444,2741507,63020033
"613",1459620444,2714092,55389833
"614",1459620444,2686951,62835934
"615",1459620444,2660082,11207575
"616",1459620444,2633481,29095499
"617",1459620444,2607146,47804544
"618",1459620444,2581075,01326499
"619",1459620444,2555264,26313234
"620",1459620444,2529711,62050101
"621",1459620444,2504414,504296
"622",1459620444,2479370,35925304
"623",1459620444,2454576,65566051
"624",1459620444,2430030,88910391
"625",1459620444,2405730,58021287
"626",1459620444,2381673,27441074
"627",1459620444,2357856,54166663
"628",1459620444,2334277,97624997
"629",1459620444,2310935,19648747
"630",1459620444,2287825,84452259
"631",1459620444,2264947,58607737
"632",1459620444,2242298,11021659
"633",1459620444,2219875,12911443
"634",1459620444,2197676,37782328
"635",1459620444,2175699,61404505
"636",1459620444,2153942,6179046
"637",1459620444,2132403,19172555
"638",1459620444,2111079,1598083
"639",1459620444,2089968,36821022
"640",1459620444,2069068,68452811
"641",1459620444,2048377,99768283
