"","bestCostByT","temperatures"
"321",145719673,39709,7786120067
"322",145719673,39312,6808258867
"323",145719673,38919,5540176278
"324",145719673,38530,3584774515
"325",145719673,38145,054892677
"326",145719673,37763,6043437503
"327",145719673,37385,9683003128
"328",145719673,37012,1086173096
"329",145719673,36641,9875311365
"330",145719673,36275,5676558252
"331",145719673,35912,8119792669
"332",145719673,35553,6838594742
"333",145719673,35198,1470208795
"334",145719673,34846,1655506707
"335",145719673,34497,703895164
"336",145719673,34152,7268562123
"337",145719673,33811,1995876502
"338",145719673,33473,0875917737
"339",145719673,33138,356715856
"340",145719673,32806,9731486974
"341",145719673,32478,9034172104
"342",145719673,32154,1143830383
"343",145719673,31832,573239208
"344",145719673,31514,2475068159
"345",145719673,31199,1050317477
"346",145719673,30887,1139814302
"347",145719673,30578,2428416159
"348",145719673,30272,4604131998
"349",145719673,29969,7358090678
"350",145719673,29670,0384509771
"351",145719673,29373,3380664673
"352",145719673,29079,6046858027
"353",145719673,28788,8086389446
"354",145719673,28500,9205525552
"355",145719673,28215,9113470296
"356",145719673,27933,7522335593
"357",145719673,27654,4147112237
"358",145719673,27377,8705641115
"359",145719673,27104,0918584704
"360",145719673,26833,0509398857
"361",145719673,26564,7204304868
"362",145719673,26299,073226182
"363",145719673,26036,0824939201
"364",145719673,25775,7216689809
"365",145719673,25517,9644522911
"366",145719673,25262,7848077682
"367",145719673,25010,1569596905
"368",145719673,24760,0553900936
"369",145719673,24512,4548361927
"370",145719673,24267,3302878308
"371",145719673,24024,6569849525
"372",145719673,23784,4104151029
"373",145719673,23546,5663109519
"374",145719673,23311,1006478424
"375",145719673,23077,989641364
"376",145719673,22847,2097449503
"377",145719673,22618,7376475008
"378",145719673,22392,5502710258
"379",145719673,22168,6247683155
"380",145719673,21946,9385206324
"381",145719673,21727,4691354261
"382",145719673,21510,1944440718
"383",145719673,21295,0924996311
"384",145719673,21082,1415746348
"385",145719673,20871,3201588884
"386",145719673,20662,6069572995
"387",145719673,20455,9808877265
"388",145719673,20251,4210788493
"389",145719673,20048,9068680608
"390",145719673,19848,4177993802
"391",145719673,19649,9336213864
"392",145719673,19453,4342851725
"393",145719673,19258,8999423208
"394",145719673,19066,3109428976
"395",145719673,18875,6478334686
"396",145719673,18686,8913551339
"397",145719673,18500,0224415826
"398",145719673,18315,0222171668
"399",145719673,18131,8719949951
"400",145719673,17950,5532750451
"401",145719673,17771,0477422947
"402",145719673,17593,3372648717
"403",145719673,17417,403892223
"404",145719673,17243,2298533008
"405",145719673,17070,7975547678
"406",145719673,16900,0895792201
"407",145719673,16731,0886834279
"408",145719673,16563,7777965936
