"","bestCostByT","temperatures"
"768",1676269061,571583,674685098
"769",1676269061,565867,837938247
"770",1676269061,560209,159558865
"771",1676269061,554607,067963276
"772",1676269061,549060,997283644
"773",1676269061,543570,387310807
"774",1676269061,538134,683437699
"775",1676269061,532753,336603322
"776",1676269061,527425,803237289
"777",1676269061,522151,545204916
"778",1676269061,516930,029752867
"779",1676269061,511760,729455338
"780",1676269061,506643,122160785
"781",1676269061,501576,690939177
"782",1676269061,496560,924029785
"783",1676269061,491595,314789487
"784",1676269061,486679,361641592
"785",1676269061,481812,568025177
"786",1676269061,476994,442344925
"787",1676269061,472224,497921476
"788",1676269061,467502,252942261
"789",1676269061,462827,230412838
"790",1676269061,458198,95810871
"791",1676269061,453616,968527623
"792",1676269061,449080,798842347
"793",1676269061,444589,990853923
"794",1676269061,440144,090945384
"795",1676269061,435742,65003593
"796",1676269061,431385,223535571
"797",1676269061,427071,371300215
"798",1676269061,422800,657587213
"799",1676269061,418572,651011341
"800",1676269061,414386,924501227
"801",1676269061,410243,055256215
"802",1676269061,406140,624703653
"803",1676269061,402079,218456616
"804",1676269061,398058,42627205
"805",1676269061,394077,84200933
"806",1676269061,390137,063589236
"807",1676269061,386235,692953344
"808",1676269061,382373,336023811
"809",1676269061,378549,602663572
"810",1676269061,374764,106636937
"811",1676269061,371016,465570567
"812",1676269061,367306,300914862
"813",1676269061,363633,237905713
"814",1676269061,359996,905526656
"815",1676269061,356396,936471389
"816",1676269061,352832,967106675
"817",1676269061,349304,637435609
"818",1676269061,345811,591061253
"819",1676269061,342353,47515064
"820",1676269061,338929,940399134
"821",1676269061,335540,640995142
"822",1676269061,332185,234585191
"823",1676269061,328863,382239339
"824",1676269061,325574,748416946
"825",1676269061,322319,000932776
"826",1676269061,319095,810923448
"827",1676269061,315904,852814214
"828",1676269061,312745,804286072
"829",1676269061,309618,346243211
"830",1676269061,306522,162780779
"831",1676269061,303456,941152971
"832",1676269061,300422,371741441
"833",1676269061,297418,148024027
"834",1676269061,294443,966543787
"835",1676269061,291499,526878349
"836",1676269061,288584,531609565
"837",1676269061,285698,68629347
"838",1676269061,282841,699430535
"839",1676269061,280013,28243623
"840",1676269061,277213,149611867
"841",1676269061,274441,018115749
"842",1676269061,271696,607934591
"843",1676269061,268979,641855245
"844",1676269061,266289,845436693
"845",1676269061,263626,946982326
"846",1676269061,260990,677512503
"847",1676269061,258380,770737378
"848",1676269061,255796,963030004
"849",1676269061,253238,993399704
"850",1676269061,250706,603465707
"851",1676269061,248199,53743105
"852",1676269061,245717,542056739
"853",1676269061,243260,366636172
"854",1676269061,240827,76296981
"855",1676269061,238419,485340112
"856",1676269061,236035,290486711
"857",1676269061,233674,937581844
"858",1676269061,231338,188206025
"859",1676269061,229024,806323965
"860",1676269061,226734,558260725
"861",1676269061,224467,212678118
"862",1676269061,222222,540551337
"863",1676269061,220000,315145824
"864",1676269061,217800,311994365
"865",1676269061,215622,308874422
"866",1676269061,213466,085785678
"867",1676269061,211331,424927821
"868",1676269061,209218,110678543
"869",1676269061,207125,929571757
"870",1676269061,205054,67027604
"871",1676269061,203004,123573279
"872",1676269061,200974,082337546
"873",1676269061,198964,341514171
"874",1676269061,196974,698099029
"875",1676269061,195004,951118039
"876",1676269061,193054,901606858
"877",1676269061,191124,35259079
"878",1676269061,189213,109064882
"879",1676269061,187320,977974233
"880",1676269061,185447,768194491
"881",1676269061,183593,290512546
"882",1676269061,181757,357607421
"883",1676269061,179939,784031346
"884",1676269061,178140,386191033
"885",1676269061,176358,982329122
