"nodes";"arcs";"algorithm";"t0";"tf";"it";"lambda";"cost";"total_time"
"300";"6320";"1";"14867566.5";"1000";"30";"0.94";"146672958";"443.942039728165"
"300";"6320";"1";"49558555";"1000";"30";"0.94";"146700194";"497.812661170959"
"300";"6320";"1";"14867566.5";"10000";"30";"0.94";"147795425";"338.704399824142"
"300";"6320";"1";"49558555";"10000";"30";"0.94";"146694938";"392.9697701931"
"300";"6320";"1";"14867566.5";"1e+05";"30";"0.94";"146878205";"231.036828994751"
"300";"6320";"1";"49558555";"1e+05";"30";"0.94";"145957162";"287.836865901947"
"300";"6320";"1";"14867566.5";"1000";"15";"0.99";"145900156";"1360.7823870182"
"300";"6320";"1";"49558555";"1000";"15";"0.99";"145928388";"1537.1987221241"
"300";"6320";"1";"14867566.5";"10000";"15";"0.99";"146005309";"1039.93630194664"
"300";"6320";"1";"49558555";"10000";"15";"0.99";"145768095";"1210.78421902657"
"300";"6320";"1";"14867566.5";"1e+05";"15";"0.99";"145637180";"710.110198259354"
"300";"6320";"1";"49558555";"1e+05";"15";"0.99";"146630399";"881.153267383575"
"300";"6320";"1";"14867566.5";"1000";"20";"0.99";"145925101";"1814.58017015457"
"300";"6320";"1";"49558555";"1000";"20";"0.99";"145709651";"2043.46758699417"
"300";"6320";"1";"14867566.5";"10000";"20";"0.99";"145561905";"1381.156291008"
"300";"6320";"1";"49558555";"10000";"20";"0.99";"146401132";"1509.84084320068"
"300";"6320";"1";"14867566.5";"1e+05";"20";"0.99";"145984946";"873.717495441437"
"300";"6320";"1";"49558555";"1e+05";"20";"0.99";"146487585";"1084.30045938492"
"300";"6320";"1";"14867566.5";"1000";"25";"0.99";"146373242";"2096.19866347313"
"300";"6320";"1";"49558555";"1000";"25";"0.99";"145532331";"2360.468303442"
"300";"6320";"1";"14867566.5";"10000";"25";"0.99";"145502189";"1591.259775877"
"300";"6320";"1";"49558555";"10000";"25";"0.99";"145845596";"1849.46745014191"
"300";"6320";"1";"14867566.5";"1e+05";"25";"0.99";"145692725";"1088.7918806076"
"300";"6320";"1";"49558555";"1e+05";"25";"0.99";"147052932";"1350.43800783157"
"300";"6320";"1";"14867566.5";"1000";"30";"0.99";"145741545";"2513.25188207626"
"300";"6320";"1";"49558555";"1000";"30";"0.99";"145707998";"2832.31861448288"
"300";"6320";"1";"14867566.5";"10000";"30";"0.99";"145754119";"1908.99852132797"
"300";"6320";"1";"49558555";"10000";"30";"0.99";"146237424";"2225.05860447884"
"300";"6320";"1";"14867566.5";"1e+05";"30";"0.99";"146603346";"1310.21614146233"
"300";"6320";"1";"49558555";"1e+05";"30";"0.99";"145855658";"1421.03446817398"
